Molecule smiles gap(eV)
H2 [HH] 13.391
NaBH4 [BH4-].[Na+] 5.501
iPrOH CC(C)O 8.113
N2H4 NN 7.531
SiHMe3 C[SiH](C)C 9.068
SiHMe2Ph C[SiH](C)C1=CC=CC=C1 6.251
H2S S 7.483
CH4 C 12.034
S=C1SC=CS1 S=C1SC=CS1 4.074
C4H10 CCCC 9.759
S=C(c1ccccc1)c2ccccc2 S=C(C1=CC=CC=C1)C1=CC=CC=C1 3.196
iC4H10 CC(C)C 9.621
Tetrathiafulvalene C1=CSC(=C2SC=CS2)S1 3.492
MetBu CC(C)(C)C 9.415
S=C1SSC=C1 S=C1C=CSS1 3.622
C1=NSN=C1 C1=NSN=C1 5.742
cC3H6 C1CC1 9.48
C1=NN=CS1 C1=NN=CS1 6.154
cC4H8 C1CCC1 9.376
cC6H12 C1CCCCC1 8.985
PhCSSMe CSC(=S)C1=CC=CC=C1 3.546
C12=NSN=C1C=CC=C2 C1=CC2=NSN=C2C=C1 4.227
CH3F CF 10.85
CF4 FC(F)(F)F 14.487
CH3Cl CCl 8.477
CCl4 ClC(Cl)(Cl)Cl 6.779
MeOH CO 8.314
CH2OH2 OCO 8.126
EtOH CCO 8.251
Glycol OCCO 7.865
BnOH OCC1=CC=CC=C1 6.313
tBuOH CC(C)(C)O 7.958
C3H4 C=C=C 7.501
CH2CO C=C=O 5.598
CO [C-]#[O+] 9.399
CO2 O=C=O 10.716
C2O2 O=C=C=O 1.479
CH2CCO C=C=C=O 3.453
C3O2 O=C=C=C=O 6.071
Et2O CCOCC 8.054
THF C1CCOC1 7.641
CH2O C=O 5.974
MeCHO CC=O 6.067
Me2CO CC(C)=O 6.313
HCOOH O=CO 7.778
MeCOOH CC(=O)O 7.729
MeCOOMe COC(C)=O 7.717
MeCOCl CC(=O)Cl 6.972
Ac2O CC(=O)OC(C)=O 6.403
AcNH2 CC(N)=O 7.458
AcNMe2 CC(=O)N(C)C 7.204
H2O O 8.943
H2O2 OO 7.764
O2 O=O 5.294
O3 O=[O+][O-] 4.115
N2 N#N 10.91
N2H2_C N=N 5.074
NH3 N 8.002
MeNH2 CN 7.402
Me2NH CNC 7.06
Me3N CN(C)C 6.804
NH2OH NO 8.11
HNO N=O 3.719
HNO2 O=NO 5.344
HNO3 O=[N+]([O-])O 6.792
NO2 O=[N+][O-] 3.865
N2O4 O=[N+]([O-])[N+](=O)[O-] 5.172
NO [N]=O 3.435
N2O2 O=NN=O 2.311
N2O [N-]=[N+]=O 8.751
MeNO2 C[N+](=O)[O-] 6.106
MeONO CON=O 5.214
MeONO2 CO[N+](=O)[O-] 6.785
MeNO CN=O 3.874
CH2N2 C=[N+]=[N-] 4.724
MeN3 CN=[N+]=[N-] 6.105
HCN C#N 9.988
C2N2 N#CC#N 7.44
HOCN N#CO 7.886
HCNO C#[N+][O-] 7.624
C2CN4 N#CC(C#N)=C(C#N)C#N 4.143
