Name,smiles
Molecule_203,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)(C)[C@H](C)C3=O
Molecule_204,CCCCCN(CCCCC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1
Molecule_205,CCOC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C
Molecule_206,Oc1ccccc1C1OCCc2ccccc21
Molecule_207,CC1C(=O)N(CCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1
Molecule_208,CCCCC/C=C/C/C=C\C/C=C\C/C=C\CCCC(=O)O
Molecule_209,O=C(c1ccc(Cl)cc1Cl)C(O)(Cn1cncn1)c1ccc(Cl)cc1
Molecule_210,CC/N=C(\NC#N)NCCSCn1nc(C)ccc1=O
Molecule_211,COc1oc(=O)c2cc(NC(C)=O)ccc2c1Cl
Molecule_212,CCCCCCCN(C=O)[C@H]1CCC2C3CC[C@H]4N(C)C(=O)CC[C@]4(C)C3CC[C@@]21C
Molecule_213,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
Molecule_214,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2cccc(C)c2)C1
Molecule_215,CC(C)c1ccc(C(c2ccc3c(c2)OCO3)c2ccc(C(C)C)cc(=O)c2O)c(O)c(=O)c1
Molecule_216,O=C(O)CCCCCCCNC(=O)C/C=C/c1ccccc1
Molecule_217,CN(C)c1ncnc2c1ncn2Cc1ccccc1
Molecule_218,CCCN(CCC)C(=O)CN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1
Molecule_219,CC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C
Molecule_220,Cn1cc(C(=O)CCCCCCc2ccccc2)cc1/C=C/C(=O)NO
Molecule_221,CN(CCOc1ccc(CC(N)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
Molecule_222,CC1(C)C=C(C(=O)NCCCNC(=O)Cc2ccc(O)cc2)C(C)(C)N1
Molecule_223,O=C(NCC=C(c1ccccc1)c1ccccc1)c1ccc(Cl)c(Cl)c1
Molecule_224,Nc1cc2[nH]c(=O)[nH]c(=O)c2s1
Molecule_225,O=C1NC(=S)S/C1=C\CC1Oc2ccccc2N(Cc2ccc(Cl)cc2)C1=O
Molecule_226,COC(=O)C(C)(C)CCCOc1ccc(OCCCC(C)(C)C(=O)OC)cc1
Molecule_227,COc1ccc(OC)c(C(O)C(C)N)c1
Molecule_228,CC(=O)NC(C(=O)N1CCSCC1)[C@H]1CC(C(=O)O)C[C@@H]1N=C(N)N
Molecule_229,COc1ccc(C(=O)c2c(C)n(CCN)c3ccccc23)cc1
Molecule_230,COc1cccc2c1CCC[C@H]2CN(C)CCc1ccc2ncoc2c1
Molecule_231,Cc1onc(O)c1C[C@@H](N)C(=O)O
